Student ID,Full Name,Arabic Name,Gender,Date of Birth,Nationality,ID Type,National ID,Iqama Number,Passport Number,Religion,Birth Place,Division,Grade,Section,Academic Year,Roll No.,Enrollment Type,Study Mode,Fee Category,Admission Date,Active,Father Name,Mother Name,Guardian Phone,Guardian Email,Address
,Talal Al-Dosari,طلال الدوسري,Male,2011-11-22,Saudi Arabia,National ID,1953225943,,,Muslim,Khobar,AMERICAN,Grade 10,A,2024-25,011,New Student,Online Mode,New,2023-09-01,Yes,Ibrahim Al-Dosari,Manal Al-Dosari,+966537906454,talal.aldosari11@parent.com,"162 Al-Nuzha Street, Jeddah"
,Fahad Al-Harbi,فهد الحربي,Male,2010-05-24,Saudi Arabia,National ID,1182233091,,,Muslim,Madinah,AMERICAN,Grade 11,A,2024-25,012,Regular (Continuing),Online Mode,Regular,2024-09-01,Yes,Saud Al-Harbi,Maha Al-Harbi,+966572163274,fahad.alharbi12@parent.com,"294 Al-Nuzha Street, Jeddah"
,Rohan Kim,روهان كيم,Male,2009-11-07,Syria,Iqama,,2725642398,,Muslim,Damascus,AMERICAN,Grade 12,A,2024-25,013,New Student,Online Mode,New,2025-09-01,Yes,Adam Kim,Olivia Kim,+966532321502,rohan.kim13@parent.com,"147 Al-Nuzha Street, Jeddah"
,Layla Singh,ليلى سينغ,Female,2020-11-03,Jordan,Iqama,,2531725198,,Muslim,Manila,AMERICAN,KG1,A,2024-25,014,New Student,Regular Mode,New,2025-09-01,Yes,Kabir Singh,Fatima Singh,+966598054145,layla.singh14@parent.com,"300 Al-Nuzha Street, Jeddah"
,Bandar Al-Otaibi,بندر العتيبي,Male,2019-05-22,Saudi Arabia,National ID,1936136704,,,Muslim,Buraidah,AMERICAN,KG2,A,2024-25,015,Regular (Continuing),Regular Mode,Regular,2022-09-01,Yes,Talal Al-Otaibi,Lujain Al-Otaibi,+966542799349,bandar.alotaibi15@parent.com,"291 Al-Nuzha Street, Jeddah"
,Dalal Al-Otaibi,دلال العتيبي,Female,2020-03-08,Saudi Arabia,National ID,1552595277,,,Muslim,Madinah,AMERICAN,Grade 1,A,2024-25,016,Regular (Continuing),Seasonal Mode,Regular,2023-09-01,Yes,Raed Al-Otaibi,Lama Al-Otaibi,+966579631028,dalal.alotaibi16@parent.com,"154 Al-Nuzha Street, Jeddah"
,Olivia Siddiqui,أوليفيا صديقي,Female,2019-12-02,Bangladesh,Iqama,,2821783292,,Muslim,Jakarta,AMERICAN,Grade 2,A,2024-25,017,Regular (Continuing),Regular Mode,Regular,2023-09-01,Yes,Zayn Siddiqui,Saanvi Siddiqui,+966596969654,olivia.siddiqui17@parent.com,"5 Al-Nuzha Street, Jeddah"
,Khalid Al-Sudais,خالد السديس,Male,2018-04-21,Saudi Arabia,National ID,1665223592,,,Muslim,Dammam,AMERICAN,Grade 3,A,2024-25,018,Regular (Continuing),Seasonal Mode,Regular,2022-09-01,Yes,Ibrahim Al-Sudais,Jana Al-Sudais,+966522420570,khalid.alsudais18@parent.com,"55 Al-Nuzha Street, Jeddah"
,Hatim Al-Otaibi,حاتم العتيبي,Male,2017-06-14,Saudi Arabia,National ID,1566482768,,,Non-Muslim,Jeddah,AMERICAN,Grade 4,A,2024-25,019,Regular (Continuing),Seasonal Mode,Regular,2025-09-01,Yes,Saif Al-Otaibi,Ghada Al-Otaibi,+966502886291,hatim.alotaibi19@parent.com,"84 Al-Nuzha Street, Jeddah"
,Saanvi Siddiqui,سانفي صديقي,Female,2016-03-01,United States,Iqama,,2644620913,,Muslim,Khartoum,AMERICAN,Grade 5,A,2024-25,020,Regular (Continuing),Online Mode,Regular,2023-09-01,Yes,John Siddiqui,Saanvi Siddiqui,+966518053851,saanvi.siddiqui20@parent.com,"59 Al-Nuzha Street, Jeddah"
,Wafa Al-Shehri,وفاء الشهري,Female,2015-10-09,Saudi Arabia,National ID,1544381903,,,Muslim,Buraidah,AMERICAN,Grade 6,A,2024-25,021,New Student,Seasonal Mode,New,2025-09-01,Yes,Khalid Al-Shehri,Maha Al-Shehri,+966556996885,wafa.alshehri21@parent.com,"190 Al-Nuzha Street, Jeddah"
,Maya Siddiqui,مايا صديقي,Female,2014-05-12,Indonesia,Iqama,,2724164172,,Muslim,London,AMERICAN,Grade 7,A,2024-25,022,New Student,Online Mode,New,2023-09-01,Yes,Aryan Siddiqui,Aisha Siddiqui,+966560918751,maya.siddiqui22@parent.com,"263 Al-Nuzha Street, Jeddah"
,Anaya Gupta,أنايا جوبتا,Female,2013-10-11,United States,Iqama,,2797959374,,Muslim,New York,AMERICAN,Grade 8,A,2024-25,023,New Student,Online Mode,New,2023-09-01,Yes,Vihaan Gupta,Priya Gupta,+966537293388,anaya.gupta23@parent.com,"3 Al-Nuzha Street, Jeddah"
,Zayn Hussain,زين حسين,Male,2012-04-08,Philippines,Passport,,,MA7713103,Non-Muslim,Mumbai,AMERICAN,Grade 9,A,2024-25,024,Regular (Continuing),Seasonal Mode,Regular,2025-09-01,Yes,Aryan Hussain,Sophia Hussain,+966593236426,zayn.hussain24@parent.com,"127 Al-Nuzha Street, Jeddah"
,Zoe Wang,زوي وانج,Female,2011-06-10,Yemen,Iqama,,2963615624,,Muslim,Sanaa,AMERICAN,Grade 10,A,2024-25,025,New Student,Regular Mode,New,2022-09-01,Yes,Mustafa Wang,Hira Wang,+966536482029,zoe.wang25@parent.com,"263 Al-Nuzha Street, Jeddah"
,Salman Al-Sabah,سلمان الصباح,Male,2010-05-20,Saudi Arabia,National ID,1750627125,,,Muslim,Khobar,AMERICAN,Grade 11,A,2024-25,026,Transfer,Seasonal Mode,Transfer,2023-09-01,Yes,Ibrahim Al-Sabah,Salma Al-Sabah,+966590955593,salman.alsabah26@parent.com,"83 Al-Nuzha Street, Jeddah"
,Ali Al-Maliki,علي المالكي,Male,2009-01-21,Saudi Arabia,National ID,1059093009,,,Muslim,Riyadh,AMERICAN,Grade 12,A,2024-25,027,Regular (Continuing),Online Mode,Regular,2025-09-01,Yes,Salman Al-Maliki,Reema Al-Maliki,+966566515964,ali.almaliki27@parent.com,"3 Al-Nuzha Street, Jeddah"
,Diya Garcia,ديا جارسيا,Female,2020-02-17,Philippines,Iqama,,2871163682,,Non-Muslim,Cairo,AMERICAN,KG1,A,2024-25,028,New Student,Regular Mode,New,2023-09-01,Yes,Kabir Garcia,Nayla Garcia,+966589186424,diya.garcia28@parent.com,"226 Al-Nuzha Street, Jeddah"
,Sophia Saleh,سوفيا صالح,Female,2019-04-28,United Kingdom,Iqama,,2735811463,,Muslim,Mumbai,AMERICAN,KG2,A,2024-25,029,Regular (Continuing),Regular Mode,Regular,2025-09-01,Yes,David Saleh,Sophia Saleh,+966588087997,sophia.saleh29@parent.com,"275 Al-Nuzha Street, Jeddah"
,John Ibrahim,جون إبراهيم,Male,2020-11-27,Pakistan,Iqama,,2204853294,,Muslim,Jakarta,AMERICAN,Grade 1,A,2024-25,030,Regular (Continuing),Online Mode,Regular,2023-09-01,Yes,Faris Ibrahim,Anika Ibrahim,+966594075093,john.ibrahim30@parent.com,"163 Al-Nuzha Street, Jeddah"
,Kabir Shaikh,كبير شيخ,Male,2019-03-12,United States,Iqama,,2029193291,,Muslim,Damascus,AMERICAN,Grade 2,A,2024-25,031,Regular (Continuing),Online Mode,Regular,2022-09-01,Yes,Kabir Shaikh,Nour Shaikh,+966526554762,kabir.shaikh31@parent.com,"111 Al-Nuzha Street, Jeddah"
,Saud Al-Sulami,سعود السلمي,Male,2018-06-27,Saudi Arabia,National ID,1204969156,,,Muslim,Dammam,AMERICAN,Grade 3,A,2024-25,032,Transfer,Online Mode,Transfer,2024-09-01,Yes,Turki Al-Sulami,Dalal Al-Sulami,+966574406987,saud.alsulami32@parent.com,"235 Al-Nuzha Street, Jeddah"
,Layla Al-Ghamdi,ليلى الغامدي,Female,2017-08-27,Saudi Arabia,National ID,1967973383,,,Muslim,Dammam,AMERICAN,Grade 4,A,2024-25,033,Regular (Continuing),Regular Mode,Regular,2022-09-01,Yes,Omar Al-Ghamdi,Reema Al-Ghamdi,+966511331935,layla.alghamdi33@parent.com,"3 Al-Nuzha Street, Jeddah"
,Hatim Al-Ghamdi,حاتم الغامدي,Male,2016-02-27,Saudi Arabia,National ID,1715035822,,,Muslim,Tabuk,AMERICAN,Grade 5,A,2024-25,034,New Student,Regular Mode,New,2025-09-01,Yes,Hassan Al-Ghamdi,Dana Al-Ghamdi,+966571943471,hatim.alghamdi34@parent.com,"160 Al-Nuzha Street, Jeddah"
,Hira Ahmed,هيرا أحمد,Female,2015-12-18,United States,Iqama,,2877860228,,Muslim,Manila,AMERICAN,Grade 6,A,2024-25,035,New Student,Seasonal Mode,New,2023-09-01,Yes,Adam Ahmed,Nayla Ahmed,+966519790746,hira.ahmed35@parent.com,"228 Al-Nuzha Street, Jeddah"
,Shaden Al-Rashid,شادن الراشد,Female,2014-07-23,Saudi Arabia,National ID,1151791370,,,Muslim,Riyadh,AMERICAN,Grade 7,A,2024-25,036,Regular (Continuing),Online Mode,Regular,2024-09-01,Yes,Yousef Al-Rashid,Sara Al-Rashid,+966509701985,shaden.alrashid36@parent.com,"52 Al-Nuzha Street, Jeddah"
,Raghad Al-Harbi,رغد الحربي,Female,2013-01-01,Saudi Arabia,National ID,1801974130,,,Muslim,Madinah,AMERICAN,Grade 8,A,2024-25,037,Regular (Continuing),Online Mode,Regular,2024-09-01,Yes,Bandar Al-Harbi,Ghada Al-Harbi,+966579229358,raghad.alharbi37@parent.com,"73 Al-Nuzha Street, Jeddah"
,Ammar Al-Ghamdi,عمار الغامدي,Male,2012-03-18,Saudi Arabia,National ID,1526492258,,,Non-Muslim,Khobar,AMERICAN,Grade 9,A,2024-25,038,Regular (Continuing),Online Mode,Regular,2024-09-01,Yes,Hamad Al-Ghamdi,Wafa Al-Ghamdi,+966513215362,ammar.alghamdi38@parent.com,"142 Al-Nuzha Street, Jeddah"
,Shaden Al-Hussein,شادن الحسين,Female,2011-02-09,Saudi Arabia,National ID,1067457965,,,Muslim,Khobar,AMERICAN,Grade 10,A,2024-25,039,New Student,Online Mode,New,2024-09-01,Yes,Nawaf Al-Hussein,Maha Al-Hussein,+966568802157,shaden.alhussein39@parent.com,"121 Al-Nuzha Street, Jeddah"
,Ismail Siddiqui,إسماعيل صديقي,Male,2010-07-24,Pakistan,Iqama,,2645852299,,Muslim,Sanaa,AMERICAN,Grade 11,A,2024-25,040,New Student,Seasonal Mode,New,2022-09-01,Yes,Ayaan Siddiqui,Zoe Siddiqui,+966559235210,ismail.siddiqui40@parent.com,"89 Al-Nuzha Street, Jeddah"
,Ali Al-Zahrani,علي الزهراني,Male,2009-10-17,Saudi Arabia,National ID,1440931040,,,Muslim,Riyadh,AMERICAN,Grade 12,A,2024-25,041,Regular (Continuing),Online Mode,Regular,2022-09-01,Yes,Hatim Al-Zahrani,Hessa Al-Zahrani,+966504835153,ali.alzahrani41@parent.com,"163 Al-Nuzha Street, Jeddah"
,Talal Al-Ghamdi,طلال الغامدي,Male,2020-10-20,Saudi Arabia,National ID,1981085650,,,Muslim,Mecca,AMERICAN,KG1,A,2024-25,042,Regular (Continuing),Seasonal Mode,Regular,2024-09-01,Yes,Omar Al-Ghamdi,Dalal Al-Ghamdi,+966564774903,talal.alghamdi42@parent.com,"286 Al-Nuzha Street, Jeddah"
,Nayla Shaikh,نايلة شيخ,Female,2019-11-16,Sudan,Passport,,,MA8114299,Muslim,Dhaka,AMERICAN,KG2,A,2024-25,043,Regular (Continuing),Regular Mode,Regular,2023-09-01,Yes,Adam Shaikh,Khadija Shaikh,+966587177770,nayla.shaikh43@parent.com,"80 Al-Nuzha Street, Jeddah"
,Lujain Al-Rashid,لجين الراشد,Female,2020-04-22,Saudi Arabia,National ID,1823837986,,,Muslim,Dammam,AMERICAN,Grade 1,A,2024-25,044,Regular (Continuing),Online Mode,Regular,2022-09-01,Yes,Bandar Al-Rashid,Aljawhara Al-Rashid,+966576197880,lujain.alrashid44@parent.com,"235 Al-Nuzha Street, Jeddah"
,Aljawhara Al-Rashid,الجوهرة الراشد,Female,2019-11-20,Saudi Arabia,National ID,1289245827,,,Muslim,Buraidah,AMERICAN,Grade 2,A,2024-25,045,New Student,Online Mode,New,2025-09-01,Yes,Hamad Al-Rashid,Reema Al-Rashid,+966518121437,aljawhara.alrashid45@parent.com,"190 Al-Nuzha Street, Jeddah"
,Salma Al-Tamimi,سلمى التميمي,Female,2018-12-28,Saudi Arabia,National ID,1825778584,,,Muslim,Riyadh,AMERICAN,Grade 3,A,2024-25,046,New Student,Seasonal Mode,New,2024-09-01,Yes,Hassan Al-Tamimi,Sara Al-Tamimi,+966540108978,salma.altamimi46@parent.com,"290 Al-Nuzha Street, Jeddah"
,Hassan Singh,حسن سينغ,Male,2017-04-23,Bangladesh,Iqama,,2694002419,,Muslim,Jakarta,AMERICAN,Grade 4,A,2024-25,047,Regular (Continuing),Regular Mode,Regular,2023-09-01,Yes,Bilal Singh,Mehek Singh,+966571490738,hassan.singh47@parent.com,"168 Al-Nuzha Street, Jeddah"
,Reem Al-Fayez,ريم الفايز,Female,2016-03-09,Saudi Arabia,National ID,1933912983,,,Muslim,Abha,AMERICAN,Grade 5,A,2024-25,048,New Student,Online Mode,New,2024-09-01,Yes,Abdullah Al-Fayez,Ghada Al-Fayez,+966504049720,reem.alfayez48@parent.com,"17 Al-Nuzha Street, Jeddah"
,Salma Al-Sudais,سلمى السديس,Female,2015-07-28,Saudi Arabia,National ID,1304024677,,,Muslim,Jeddah,AMERICAN,Grade 6,A,2024-25,049,Regular (Continuing),Seasonal Mode,Regular,2023-09-01,Yes,Ibrahim Al-Sudais,Norah Al-Sudais,+966577789690,salma.alsudais49@parent.com,"171 Al-Nuzha Street, Jeddah"
,Khadija Habib,خديجة حبيب,Female,2014-10-14,Syria,Passport,,,BM0274938,Muslim,Sanaa,AMERICAN,Grade 7,A,2024-25,050,Regular (Continuing),Seasonal Mode,Regular,2025-09-01,Yes,Junaid Habib,Anaya Habib,+966506405150,khadija.habib50@parent.com,"183 Al-Nuzha Street, Jeddah"
,Saud Al-Qahtani,سعود القحطاني,Male,2013-05-13,Saudi Arabia,National ID,1364873499,,,Muslim,Khobar,AMERICAN,Grade 8,A,2024-25,051,Regular (Continuing),Seasonal Mode,Regular,2022-09-01,Yes,Yazeed Al-Qahtani,Lujain Al-Qahtani,+966534089878,saud.alqahtani51@parent.com,"250 Al-Nuzha Street, Jeddah"
,Nayla Ahmed,نايلة أحمد,Female,2012-08-06,Sudan,Iqama,,2237015599,,Muslim,Karachi,AMERICAN,Grade 9,A,2024-25,052,Regular (Continuing),Seasonal Mode,Regular,2025-09-01,Yes,David Ahmed,Nour Ahmed,+966513964836,nayla.ahmed52@parent.com,"66 Al-Nuzha Street, Jeddah"
,Zain Ali,زين علي,Male,2011-01-20,Yemen,Passport,,,MG8936049,Muslim,Amman,AMERICAN,Grade 10,A,2024-25,053,Regular (Continuing),Regular Mode,Regular,2025-09-01,Yes,Rohan Ali,Diya Ali,+966517173353,zain.ali53@parent.com,"250 Al-Nuzha Street, Jeddah"
,Mohammed Al-Hashemi,محمد الهاشمي,Male,2010-02-22,Saudi Arabia,National ID,1424201025,,,Muslim,Tabuk,AMERICAN,Grade 11,A,2024-25,054,Transfer,Regular Mode,Transfer,2022-09-01,Yes,Yousef Al-Hashemi,Lujain Al-Hashemi,+966555281588,mohammed.alhashemi54@parent.com,"19 Al-Nuzha Street, Jeddah"
,Dana Al-Fayez,دانا الفايز,Female,2009-04-01,Saudi Arabia,National ID,1889437533,,,Muslim,Mecca,AMERICAN,Grade 12,A,2024-25,055,Transfer,Seasonal Mode,Transfer,2024-09-01,Yes,Anas Al-Fayez,Manal Al-Fayez,+966592703768,dana.alfayez55@parent.com,"216 Al-Nuzha Street, Jeddah"
,Faisal Al-Zahrani,فيصل الزهراني,Male,2020-12-13,Saudi Arabia,National ID,1640435194,,,Non-Muslim,Dammam,AMERICAN,KG1,A,2024-25,056,New Student,Online Mode,New,2023-09-01,Yes,Mohammed Al-Zahrani,Dana Al-Zahrani,+966569843091,faisal.alzahrani56@parent.com,"133 Al-Nuzha Street, Jeddah"
,Raghad Al-Otaibi,رغد العتيبي,Female,2019-06-28,Saudi Arabia,National ID,1480240252,,,Non-Muslim,Abha,AMERICAN,KG2,A,2024-25,057,Regular (Continuing),Online Mode,Regular,2023-09-01,Yes,Abdullah Al-Otaibi,Aisha Al-Otaibi,+966527029992,raghad.alotaibi57@parent.com,"91 Al-Nuzha Street, Jeddah"
,Fatima Al-Hashemi,فاطمة الهاشمي,Female,2020-09-12,Saudi Arabia,National ID,1617116902,,,Muslim,Dammam,AMERICAN,Grade 1,A,2024-25,058,Regular (Continuing),Regular Mode,Regular,2022-09-01,Yes,Talal Al-Hashemi,Lujain Al-Hashemi,+966533738253,fatima.alhashemi58@parent.com,"246 Al-Nuzha Street, Jeddah"
,Tala Al-Tamimi,تالا التميمي,Female,2019-03-27,Saudi Arabia,National ID,1173333586,,,Muslim,Riyadh,AMERICAN,Grade 2,A,2024-25,059,Transfer,Online Mode,Transfer,2025-09-01,Yes,Hamad Al-Tamimi,Wafa Al-Tamimi,+966561992775,tala.altamimi59@parent.com,"169 Al-Nuzha Street, Jeddah"
,Reema Al-Yamani,ريما اليماني,Female,2018-04-03,Saudi Arabia,National ID,1820633565,,,Non-Muslim,Madinah,AMERICAN,Grade 3,A,2024-25,060,New Student,Regular Mode,New,2022-09-01,Yes,Ammar Al-Yamani,Renad Al-Yamani,+966595852958,reema.alyamani60@parent.com,"20 Al-Nuzha Street, Jeddah"
,David Garcia,ديفيد جارسيا,Male,2017-09-20,Philippines,Iqama,,2252224618,,Non-Muslim,Cairo,AMERICAN,Grade 4,A,2024-25,061,Regular (Continuing),Regular Mode,Regular,2025-09-01,Yes,Hassan Garcia,Hira Garcia,+966515145529,david.garcia61@parent.com,"114 Al-Nuzha Street, Jeddah"
,Nayla Garcia,نايلة جارسيا,Female,2016-09-24,Egypt,Passport,,,LH9070867,Muslim,Dhaka,AMERICAN,Grade 5,A,2024-25,062,Regular (Continuing),Regular Mode,Regular,2023-09-01,Yes,Hamza Garcia,Anaya Garcia,+966541040962,nayla.garcia62@parent.com,"243 Al-Nuzha Street, Jeddah"
,Saif Al-Mutairi,سيف المطيري,Male,2015-02-07,Saudi Arabia,National ID,1812914451,,,Muslim,Riyadh,AMERICAN,Grade 6,A,2024-25,063,Transfer,Regular Mode,Transfer,2025-09-01,Yes,Bandar Al-Mutairi,Joud Al-Mutairi,+966567230410,saif.almutairi63@parent.com,"4 Al-Nuzha Street, Jeddah"
,Rohan Reddy,روهان ريدي,Male,2014-01-14,Pakistan,Iqama,,2579663225,,Muslim,Sanaa,AMERICAN,Grade 7,A,2024-25,064,New Student,Regular Mode,New,2024-09-01,Yes,David Reddy,Maya Reddy,+966535699766,rohan.reddy64@parent.com,"268 Al-Nuzha Street, Jeddah"
,Norah Al-Maliki,نورة المالكي,Female,2013-05-26,Saudi Arabia,National ID,1362264438,,,Muslim,Dammam,AMERICAN,Grade 8,A,2024-25,065,New Student,Regular Mode,New,2024-09-01,Yes,Nawaf Al-Maliki,Latifa Al-Maliki,+966582873204,norah.almaliki65@parent.com,"24 Al-Nuzha Street, Jeddah"
,Talal Al-Sabah,طلال الصباح,Male,2012-10-26,Saudi Arabia,National ID,1126676904,,,Muslim,Jeddah,AMERICAN,Grade 9,A,2024-25,066,New Student,Online Mode,New,2022-09-01,Yes,Saud Al-Sabah,Dalal Al-Sabah,+966566416524,talal.alsabah66@parent.com,"175 Al-Nuzha Street, Jeddah"
,Faris Kumar,فارس كومار,Male,2011-11-27,Philippines,Iqama,,2878639599,,Muslim,Manila,AMERICAN,Grade 10,A,2024-25,067,New Student,Regular Mode,New,2023-09-01,Yes,Ahmed Kumar,Sana Kumar,+966592536415,faris.kumar67@parent.com,"53 Al-Nuzha Street, Jeddah"
,John Shaikh,جون شيخ,Male,2010-10-17,India,Iqama,,2129914502,,Muslim,Cairo,AMERICAN,Grade 11,A,2024-25,068,New Student,Online Mode,New,2022-09-01,Yes,David Shaikh,Khadija Shaikh,+966528124727,john.shaikh68@parent.com,"248 Al-Nuzha Street, Jeddah"
,Maha Al-Shehri,مها الشهري,Female,2009-07-06,Saudi Arabia,National ID,1812760048,,,Non-Muslim,Khobar,AMERICAN,Grade 12,A,2024-25,069,Regular (Continuing),Seasonal Mode,Regular,2024-09-01,Yes,Hamad Al-Shehri,Raghad Al-Shehri,+966534178454,maha.alshehri69@parent.com,"112 Al-Nuzha Street, Jeddah"
,Adam Sharma,آدم شارما,Male,2020-11-21,Philippines,Iqama,,2884760790,,Muslim,Amman,AMERICAN,KG1,A,2024-25,070,New Student,Online Mode,New,2022-09-01,Yes,James Sharma,Layla Sharma,+966541854469,adam.sharma70@parent.com,"147 Al-Nuzha Street, Jeddah"
,Nour Mahmood,نور محمود,Female,2019-04-02,Syria,Iqama,,2579072607,,Non-Muslim,Sanaa,AMERICAN,KG2,A,2024-25,071,Transfer,Regular Mode,Transfer,2025-09-01,Yes,Faris Mahmood,Emma Mahmood,+966523946687,nour.mahmood71@parent.com,"294 Al-Nuzha Street, Jeddah"
,Majed Al-Fayez,ماجد الفايز,Male,2020-07-26,Saudi Arabia,National ID,1900845442,,,Muslim,Madinah,AMERICAN,Grade 1,A,2024-25,072,Regular (Continuing),Regular Mode,Regular,2022-09-01,Yes,Abdullah Al-Fayez,Lujain Al-Fayez,+966532936593,majed.alfayez72@parent.com,"176 Al-Nuzha Street, Jeddah"
,Hatim Al-Sabah,حاتم الصباح,Male,2019-09-15,Saudi Arabia,National ID,1729068680,,,Non-Muslim,Mecca,AMERICAN,Grade 2,A,2024-25,073,Regular (Continuing),Regular Mode,Regular,2022-09-01,Yes,Saif Al-Sabah,Lama Al-Sabah,+966577007925,hatim.alsabah73@parent.com,"112 Al-Nuzha Street, Jeddah"
,Majed Al-Sudais,ماجد السديس,Male,2018-11-04,Saudi Arabia,National ID,1155733213,,,Non-Muslim,Dammam,AMERICAN,Grade 3,A,2024-25,074,New Student,Seasonal Mode,New,2022-09-01,Yes,Yazeed Al-Sudais,Noura Al-Sudais,+966530130909,majed.alsudais74@parent.com,"300 Al-Nuzha Street, Jeddah"
,Hassan Al-Zahrani,حسن الزهراني,Male,2017-11-18,Saudi Arabia,National ID,1355396397,,,Non-Muslim,Khobar,AMERICAN,Grade 4,A,2024-25,075,New Student,Online Mode,New,2022-09-01,Yes,Naif Al-Zahrani,Sara Al-Zahrani,+966577377203,hassan.alzahrani75@parent.com,"149 Al-Nuzha Street, Jeddah"
,Ammar Al-Anazi,عمار العنزي,Male,2016-08-01,Saudi Arabia,National ID,1931630146,,,Non-Muslim,Khobar,AMERICAN,Grade 5,A,2024-25,076,Regular (Continuing),Regular Mode,Regular,2023-09-01,Yes,Saif Al-Anazi,Dalal Al-Anazi,+966511279369,ammar.alanazi76@parent.com,"174 Al-Nuzha Street, Jeddah"
,Manal Al-Qahtani,منال القحطاني,Female,2015-04-11,Saudi Arabia,National ID,1233415530,,,Muslim,Mecca,AMERICAN,Grade 6,A,2024-25,077,New Student,Online Mode,New,2025-09-01,Yes,Bandar Al-Qahtani,Reema Al-Qahtani,+966584811347,manal.alqahtani77@parent.com,"208 Al-Nuzha Street, Jeddah"
,Talha Brown,طلحة براون,Male,2014-09-15,Yemen,Iqama,,2947927731,,Muslim,London,AMERICAN,Grade 7,A,2024-25,078,New Student,Regular Mode,New,2022-09-01,Yes,Junaid Brown,Aliya Brown,+966561044144,talha.brown78@parent.com,"265 Al-Nuzha Street, Jeddah"
,Bader Al-Rashid,بدر الراشد,Male,2013-12-09,Saudi Arabia,National ID,1872738110,,,Muslim,Mecca,AMERICAN,Grade 8,A,2024-25,079,Transfer,Online Mode,Transfer,2022-09-01,Yes,Yousef Al-Rashid,Wafa Al-Rashid,+966522057102,bader.alrashid79@parent.com,"179 Al-Nuzha Street, Jeddah"
